chebi_id,smiles,similarity
CHEBI:176074,CC1=C[C@H](O)CC(C)(C)[C@@H]1/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C,1.0
CHEBI:176075,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,0.6805555555555556
CHEBI:176076,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,0.6805555555555556
CHEBI:176080,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,0.6805555555555556
CHEBI:176081,CC1=C[C@@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,1.0
CHEBI:176083,CC1=CC(O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C,1.0
CHEBI:176090,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C2C=C3C(C)(C)CCCC3(C)O2)C(C)(C)CC(O)C1,0.504950495049505
CHEBI:176097,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C23OC2(C)CCCC3(C)C)C(C)(C)CC(O)C1,0.5154639175257731
CHEBI:176102,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@H](O)CC2(C)C)C(C)(C)C[C@@H](O)C1,0.6805555555555556
CHEBI:176158,CC(=O)/C=C\C(C)=C\C=C/C(C)=C/C=C/C=C(C)\C=C\C=C(C)/C=C/C1=C(C)CC(O)CC1(C)C,0.6049382716049383
CHEBI:176198,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]2(O)C(C)(C)C[C@H](O)C[C@@]2(C)O)C(C)(C)C[C@H](O)C1,0.5434782608695652
